Kelvin,p,density,v_liquid,v_gas,compressibility factor,h_liquid,h_gas,r,s_liquid,s_gas
400,0.06488967,669.2931149,0.001494114,2.980177176,1,-248.4868496,57.95853849,-0.030793534,-0.559053304,0.207060166
401,0.067504764,668.5143624,0.001495854,2.871047447,1,-245.8904536,60.02912706,-0.030649256,-0.552571393,0.21032033
402,0.070207575,667.7346344,0.001497601,2.766574132,1,-243.2900124,62.10349383,-0.030504227,-0.546095584,0.213589755
403,0.073000392,666.9539176,0.001499354,2.666532696,1,-240.685523,64.18162409,-0.030358435,-0.539625842,0.21686832
404,0.075885541,666.172199,0.001501113,2.570710586,1,-238.0769829,66.26350302,-0.030211871,-0.53316213,0.220155905
405,0.078865389,665.3894652,0.001502879,2.478906532,1,-235.4643893,68.34911569,-0.030064523,-0.526704413,0.22345239
406,0.081942342,664.605703,0.001504652,2.390929893,1,-232.8477396,70.43844707,-0.029916379,-0.520252656,0.226757656
407,0.085118847,663.8208989,0.00150643,2.306600047,1,-230.2270312,72.531482,-0.029767429,-0.513806824,0.230071587
408,0.088397392,663.0350394,0.001508216,2.225745815,1,-227.6022616,74.62820523,-0.02961766,-0.507366883,0.233394065
409,0.091780504,662.248111,0.001510008,2.148204922,1,-224.9734282,76.72860141,-0.02946706,-0.500932799,0.236724975
410,0.095270752,661.4601,0.001511807,2.073823493,1,-222.3405286,78.83265507,-0.029315617,-0.494504538,0.240064203
411,0.098870746,660.6709926,0.001513613,2.002455574,1,-219.7035603,80.94035065,-0.029163319,-0.488082068,0.243411633
412,0.102583136,659.8807751,0.001515425,1.933962692,1,-217.062521,83.05167247,-0.029010153,-0.481665354,0.246767154
413,0.106410614,659.0894334,0.001517245,1.868213433,1,-214.4174082,85.16660476,-0.028856105,-0.475254365,0.250130654
414,0.110355914,658.2969535,0.001519071,1.805083049,1,-211.7682196,87.28513167,-0.028701163,-0.468849069,0.253502021
415,0.114421809,657.5033215,0.001520905,1.744453089,1,-209.114953,89.4072372,-0.028545313,-0.462449433,0.256881146
416,0.118611117,656.7085229,0.001522746,1.686211052,1,-206.457606,91.53290531,-0.028388542,-0.456055426,0.260267919
417,0.122926696,655.9125436,0.001524593,1.630250059,1,-203.7961763,93.66211981,-0.028230835,-0.449667016,0.263662231
418,0.127371446,655.115369,0.001526449,1.576468546,1,-201.1306618,95.79486445,-0.028072177,-0.443284173,0.267063976
419,0.131948309,654.3169848,0.001528311,1.524769975,1,-198.4610603,97.93112287,-0.027912556,-0.436906867,0.270473046
420,0.13666027,653.5173763,0.001530181,1.475062563,1,-195.7873695,100.0708786,-0.027751954,-0.430535065,0.273889335
421,0.141510356,652.7165287,0.001532059,1.427259023,1,-193.1095874,102.2141151,-0.027590359,-0.424168739,0.277312739
422,0.146501635,651.9144273,0.001533944,1.381276326,1,-190.4277117,104.3608158,-0.027427753,-0.417807859,0.280743154
423,0.151637218,651.1110571,0.001535836,1.337035473,1,-187.7417405,106.5109639,-0.027264121,-0.411452396,0.284180475
