Kelvin,p,density,v_liquid,v_gas,compressibility factor,h_liquid,h_gas,r,s_liquid,s_gas
273.15,0.006108,0.004847,0.0010002,206.3,1,-0.04,2501.6,2501.6,-0.0002,9.1577
273.16,0.006112,0.004851,0.0010002,206.2,1,0,2501.6,2501.6,0,9.1575
274.15,0.006566,0.005192,0.0010001,192.6,1,4.17,2503.4,2499.2,0.0152,9.1311
275.15,0.007055,0.005558,0.0010001,179.9,1,8.39,2505.2,2496.8,0.0306,9.1047
276.15,0.007575,0.005946,0.0010001,168.2,1,12.6,2507.1,2494.5,0.0459,9.0785
277.15,0.008129,0.006358,0.001,157.3,1,16.8,2508.9,2492.1,0.0611,9.0526
278.15,0.008718,0.006795,0.001,147.2,1,21.01,2510.7,2489.7,0.0762,9.0269
279.15,0.009345,0.007258,0.001,137.8,1,25.21,2512.6,2487.4,0.0913,9.0015
280.15,0.010012,0.007748,0.0010001,129.1,1,29.41,2514.4,2485,0.1063,8.9762
281.15,0.01072,0.008267,0.0010001,121,1,33.6,2516.2,2482.6,0.1213,8.9513
282.15,0.011472,0.008816,0.0010002,113.4,1,37.8,2518.1,2480.3,0.1361,8.9265
283.15,0.01227,0.009396,0.0010003,106.4,1,41.99,2519.9,2477.9,0.151,8.902
284.15,0.013116,0.01001,0.0010003,99.91,1,46.19,2521.7,2475.5,0.1658,8.8776
285.15,0.014014,0.01066,0.0010004,93.84,1,50.38,2523.6,2473.2,0.1805,8.8536
286.15,0.014965,0.01134,0.0010006,88.18,1,54.57,2525.4,2470.8,0.1952,8.8297
287.15,0.015973,0.01206,0.0010007,82.9,1,58.75,2527.2,2468.5,0.2098,8.806
288.15,0.017039,0.01282,0.0010008,77.98,1,62.94,2529.1,2466.1,0.2243,8.7826
289.15,0.018168,0.01363,0.001001,73.38,1,67.13,2530.9,2463.8,0.2388,8.7593
290.15,0.019362,0.01447,0.0010012,69.09,1,71.31,2532.7,2461.4,0.2533,8.7363
291.15,0.02062,0.01536,0.0010013,65.09,1,75.5,2534.5,2459,0.2677,8.7135
292.15,0.02196,0.0163,0.0010015,61.34,1,79.68,2536.4,2456.7,0.282,8.6908
293.15,0.02337,0.01729,0.0010017,57.84,1,83.86,2538.2,2454.3,0.2963,8.6684
294.15,0.02485,0.01833,0.0010019,54.56,1,88.04,2540,2452,0.3105,8.6462
295.15,0.02642,0.01942,0.0010022,51.49,1,92.23,2541.8,2449.6,0.3247,8.6241
296.15,0.02808,0.02057,0.0010024,48.62,1,96.41,2543.6,2447.2,0.3389,8.6023
297.15,0.02982,0.02177,0.0010026,45.93,1,100.59,2545.5,2444.9,0.353,8.5806
298.15,0.03166,0.02304,0.0010029,43.4,1,104.77,2547.3,2442.5,0.367,8.5592
299.15,0.0336,0.02437,0.0010032,41.03,1,108.95,2549.1,2440.2,0.381,8.5379
300.15,0.03564,0.02576,0.0010034,38.81,1,113.13,2550.9,2437.8,0.3949,8.5168
301.15,0.03778,0.02723,0.0010037,36.73,1,117.31,2552.7,2435.4,0.4088,8.4959
302.15,0.04004,0.02876,0.001004,34.77,1,121.48,2554.5,2433.1,0.4227,8.4751
303.15,0.04241,0.03037,0.0010043,32.93,1,125.66,2556.4,2430.7,0.4365,8.4546
304.15,0.04491,0.03205,0.0010046,31.2,1,129.84,2558.2,2428.3,0.4503,8.4342
305.15,0.04753,0.03382,0.0010049,29.57,1,134.02,2560,2425.9,0.464,8.414
306.15,0.05029,0.03566,0.0010053,28.04,1,138.2,2561.8,2423.6,0.4777,8.3939
307.15,0.05318,0.03759,0.0010056,26.6,1,142.38,2563.6,2421.2,0.4913,8.374
308.15,0.05622,0.03961,0.001006,25.24,1,146.56,2565.4,2418.8,0.5049,8.3543
309.15,0.0594,0.04172,0.0010063,23.97,1,150.74,2567.2,2416.4,0.5184,8.3348
310.15,0.06274,0.04393,0.0010067,22.76,1,154.91,2569,2414.1,0.5319,8.3154
311.15,0.06624,0.04624,0.001007,21.63,1,159.09,2570.8,2411.7,0.5453,8.2962
312.15,0.06991,0.04865,0.0010074,20.56,1,163.27,2572.6,2409.3,0.5588,8.2772
313.15,0.07375,0.05116,0.0010078,19.55,1,167.45,2574.4,2406.9,0.5721,8.2583
314.15,0.07777,0.05379,0.0010082,18.59,1,171.63,2576.2,2404.5,0.5854,8.2395
315.15,0.08198,0.05652,0.0010086,17.69,1,175.81,2577.9,2402.1,0.5987,8.2209
316.15,0.08639,0.05938,0.001009,16.84,1,179.99,2579.7,2399.7,0.612,8.2025
317.15,0.091,0.06236,0.0010094,16.04,1,184.17,2581.5,2397.3,0.6252,8.1842
318.15,0.09582,0.06546,0.0010099,15.28,1,188.35,2583.3,2394.9,0.6383,8.1661
319.15,0.10086,0.06869,0.0010103,14.56,1,192.53,2585.1,2392.5,0.6514,8.1481
320.15,0.10612,0.07206,0.0010107,13.88,1,196.71,2586.9,2390.1,0.6645,8.1302
321.15,0.11162,0.07557,0.0010112,13.23,1,200.89,2588.6,2387.7,0.6776,8.1125
322.15,0.11736,0.07922,0.0010117,12.62,1,205.07,2590.4,2385.3,0.6906,8.095
323.15,0.12335,0.08302,0.0010121,12.05,1,209.26,2592.2,2382.9,0.7035,8.0776
324.15,0.12961,0.08697,0.0010126,11.5,1,213.44,2593.9,2380.5,0.7164,8.0603
325.15,0.13613,0.09108,0.0010131,10.98,1,217.62,2595.7,2378.1,0.7293,8.0432
326.15,0.14293,0.09535,0.0010136,10.49,1,221.8,2597.5,2375.7,0.7422,8.0262
327.15,0.15002,0.09979,0.001014,10.02,1,225.98,2599.2,2373.2,0.755,8.0093
328.15,0.15741,0.1044,0.0010145,9.579,1,230.17,2601,2370.8,0.7677,7.9926
329.15,0.16511,0.1092,0.001015,9.159,1,234.35,2602.7,2368.4,0.7804,7.9759
330.15,0.17313,0.1142,0.0010156,8.76,1,238.53,2604.5,2365.9,0.7931,7.9595
331.15,0.18147,0.1193,0.0010161,8.381,1,242.72,2606.2,2363.5,0.8058,7.9431
332.15,0.19016,0.1247,0.0010166,8.021,1,246.91,2608,2361.1,0.8184,7.9269
333.15,0.1992,0.1302,0.0010171,7.679,1,251.09,2609.7,2358.6,0.831,7.9108
334.15,0.2086,0.136,0.0010177,7.353,1,255.28,2611.4,2356.2,0.8435,7.8948
335.15,0.2184,0.142,0.0010182,7.044,1,259.46,2613.2,2353.7,0.856,7.879
336.15,0.2286,0.1482,0.0010188,6.749,1,263.65,2614.9,2351.3,0.8685,7.8633
337.15,0.2391,0.1546,0.0010193,6.469,1,267.84,2616.6,2348.8,0.8809,7.8477
338.15,0.2501,0.1612,0.0010199,6.202,1,272.02,2618.4,2346.3,0.8933,7.8322
339.15,0.2615,0.1681,0.0010205,5.948,1,276.21,2620.1,2343.9,0.9057,7.8168
340.15,0.2733,0.1752,0.0010211,5.706,1,280.4,2621.8,2341.4,0.918,7.8015
341.15,0.2856,0.1826,0.0010217,5.476,1,284.59,2623.5,2338.9,0.9303,7.7864
342.15,0.2984,0.1903,0.0010223,5.256,1,288.78,2625.2,2336.4,0.9426,7.7714
343.15,0.3116,0.1982,0.0010228,5.046,1,292.97,2626.9,2334,0.9548,7.7565
344.15,0.3253,0.2063,0.0010235,4.846,1,297.16,2628.6,2331.5,0.967,7.7417
345.15,0.3396,0.2148,0.0010241,4.656,1,301.35,2630.3,2329,0.9792,7.727
346.15,0.3543,0.2235,0.0010247,4.474,1,305.55,2632,2326.5,0.9913,7.7124
347.15,0.3696,0.2326,0.0010253,4.3,1,309.74,2633.7,2324,1.0034,7.6979
348.15,0.3855,0.2419,0.0010259,4.134,1,313.94,2635.4,2321.5,1.0154,7.6835
349.15,0.4019,0.2515,0.0010266,3.976,1,318.13,2637.1,2318.9,1.0275,7.6693
350.15,0.4189,0.2615,0.0010272,3.824,1,322.33,2638.7,2316.4,1.0395,7.6551
351.15,0.4365,0.2718,0.0010279,3.68,1,326.52,2640.4,2313.9,1.0514,7.641
352.15,0.4547,0.2824,0.0010285,3.541,1,330.72,2642.1,2311.4,1.0634,7.6271
353.15,0.4736,0.2933,0.0010292,3.409,1,334.92,2643.8,2308.8,1.0753,7.6132
354.15,0.4931,0.3046,0.0010299,3.283,1,339.11,2645.4,2306.3,1.0871,7.5995
355.15,0.5133,0.3163,0.0010305,3.162,1,343.31,2647.1,2303.8,1.099,7.5858
356.15,0.5342,0.3283,0.0010312,3.046,1,347.51,2648.7,2301.2,1.1108,7.5722
357.15,0.5557,0.3407,0.0010319,2.935,1,351.71,2650.4,2298.7,1.1225,7.5588
358.15,0.578,0.3535,0.0010326,2.829,1,355.92,2652,2296.5,1.1343,7.5454
359.15,0.6011,0.3667,0.0010333,2.727,1,360.12,2653.6,2293.1,1.146,7.5321
360.15,0.6249,0.3803,0.001034,2.63,1,364.32,2655.3,2290.9,1.1577,7.5189
361.15,0.6495,0.3942,0.0010347,2.536,1,368.53,2656.9,2288.4,1.1693,7.5058
362.15,0.6749,0.4087,0.0010354,2.447,1,372.73,2658.5,2285.8,1.1809,7.4928
363.15,0.7011,0.4235,0.0010361,2.361,1,376.94,2660.1,2283.2,1.1925,7.4799
364.15,0.7281,0.4388,0.0010369,2.279,1,381.15,2661.7,2280.6,1.2041,7.467
365.15,0.7561,0.4545,0.0010376,2.2,1,385.36,2663.4,2278,1.2156,7.4543
366.15,0.7849,0.4797,0.0010384,2.125,1,389.56,2665,2275.4,1.2271,7.4416
367.15,0.8146,0.4873,0.0010391,2.052,1,393.78,2666.6,2272.8,1.2386,7.4291
368.15,0.8453,0.5045,0.0010399,1.982,1,397.99,2668.1,2270.2,1.2501,7.4166
369.15,0.8769,0.5221,0.0010406,1.915,1,402.2,2669.7,2267.5,1.2615,7.4042
370.15,0.9094,0.5402,0.0010414,1.851,1,406.42,2671.3,2264.9,1.2729,7.3919
371.15,0.943,0.5589,0.0010421,1.789,1,410.63,2672.9,2262.2,1.2842,7.3796
372.15,0.9776,0.578,0.0010429,1.73,1,414.85,2674.4,2259.6,1.2956,7.3675
373.15,1.0133,0.5977,0.0010437,1.673,1,419.06,2676,2256.9,1.3069,7.3554
374.15,1.05,0.618,0.0010445,1.618,1,423.28,2677.6,2254.3,1.3182,7.3434
375.15,1.0878,0.6388,0.0010453,1.566,1,427.5,2679.1,2251.6,1.3294,7.3315
376.15,1.1267,0.6601,0.0010461,1.515,1,431.73,2680.7,2248.9,1.3406,7.3196
377.15,1.1668,0.6821,0.0010469,1.466,1,435.95,2682.2,2246.3,1.3518,7.3078
378.15,1.208,0.7046,0.0010477,1.419,1,440.17,2683.7,2243.6,1.363,7.2962
379.15,1.2504,0.7277,0.0010485,1.374,1,444.4,2685.3,2240.9,1.3742,7.2845
380.15,1.2941,0.7515,0.0010494,1.331,1,448.63,2686.8,2238.2,1.3853,7.273
