Kelvin,p,density,v_liquid,v_gas,compressibility factor,h_liquid,h_gas,r,s_liquid,s_gas
300.15,0.03564,0.02576,0.0010034,38.81,1,113.13,2550.9,2437.8,0.3949,8.5168
310.15,0.06274,0.04393,0.0010067,22.76,1,154.91,2569,2414.1,0.5319,8.3154
320.15,0.10612,0.07206,0.0010107,13.88,1,196.71,2586.9,2390.1,0.6645,8.1302
330.15,0.17313,0.1142,0.0010156,8.76,1,238.53,2604.5,2365.9,0.7931,7.9595
340.15,0.2733,0.1752,0.0010211,5.706,1,280.4,2621.8,2341.4,0.918,7.8015
350.15,0.4189,0.2615,0.0010272,3.824,1,322.33,2638.7,2316.4,1.0395,7.6551
360.15,0.6249,0.3803,0.001034,2.63,1,364.32,2655.3,2290.9,1.1577,7.5189
370.15,0.9094,0.5402,0.0010414,1.851,1,406.42,2671.3,2264.9,1.2729,7.3919
380.15,1.2941,0.7515,0.0010494,1.331,1,448.63,2686.8,2238.2,1.3853,7.273
390.15,1.8039,1.025,0.0010579,0.9753,1,490.98,2701.6,2210.7,1.4951,7.1614
400.15,2.4675,1.375,0.0010671,0.7273,1,533.51,2715.8,2182.3,1.6026,7.0564
410.15,3.317,1.815,0.001077,0.5511,1,576.24,2729.2,2153,1.7078,6.9572
420.15,4.389,2.361,0.0010875,0.4236,1,619.21,2741.8,2122.6,1.811,6.8631
430.15,5.723,3.032,0.0010987,0.3299,1,662.45,2753.4,2091,1.9124,6.7735
440.15,7.362,3.847,0.0011107,0.26,1,705.99,2764.1,2058.1,2.0121,6.688
450.15,9.353,4.829,0.0011235,0.2071,1,749.88,2773.6,2023.8,2.1102,6.6059
460.15,11.747,6.003,0.0011372,0.1666,1,794.15,2782,1987.8,2.2068,6.5268
470.15,14.596,7.398,0.0011519,0.1352,1,838.86,2789.1,1950.2,2.3023,6.4503
480.15,17.959,9.045,0.0011676,0.1106,1,884.07,2794.8,1910.7,2.3966,6.3759
490.15,21.896,10.98,0.0011846,0.09107,1,929.83,2799,1869.1,2.49,6.3032
500.15,26.47,13.24,0.0012029,0.0755,1,976.21,2801.5,1825.3,2.5825,6.2319
510.15,31.747,15.89,0.0012228,0.06294,1,1023.3,2802.3,1779,2.6745,6.1616
520.15,37.799,18.97,0.0012444,0.05272,1,1071.2,2801.2,1730,2.7661,6.0917
530.15,44.697,22.55,0.0012681,0.04435,1,1120.1,2797.9,1677.8,2.8574,6.022
540.15,52.519,26.72,0.0012942,0.03743,1,1170,2792.1,1622.1,2.9489,5.9517
550.15,61.346,31.58,0.0013231,0.03166,1,1221.2,2783.6,1562.4,3.0406,5.8804
560.15,71.261,37.27,0.0013554,0.02683,1,1273.9,2771.8,1498,3.1331,5.8072
570.15,82.355,43.96,0.0013921,0.02275,1,1328.3,2756.4,1428.1,3.2268,5.7315
580.15,94.725,51.88,0.0014341,0.01928,1,1384.9,2736.8,1351.9,3.3221,5.6523
590.15,108.48,61.37,0.0014831,0.01629,1,1444.2,2712.2,1268,3.42,5.5686
600.15,123.73,72.97,0.0015416,0.0137,1,1506.9,2681.1,1174.2,3.5215,5.4781
610.15,140.64,87.58,0.0016135,0.01142,1,1574.2,2640.7,1066.6,3.6282,5.3764
620.15,159.35,106.7,0.0017067,0.009371,1,1648,2586.9,938.9,3.7431,5.2574
630.15,180.09,133.5,0.0018406,0.00749,1,1735.2,2513.5,778.3,3.8772,5.1121
640.15,203.13,177.9,0.0020802,0.005621,1,1843.2,2399,555.7,4.0401,4.9081
