Kelvin,p,density,v_liquid,v_gas,compressibility factor,h_liquid,h_gas,r,s_liquid,s_gas
300.15,0.03564,0.02576,0.0010034,38.81,1,113.13,2550.9,2437.8,0.3949,8.5168
301.15,0.03778,0.02723,0.0010037,36.73,1,117.31,2552.7,2435.4,0.4088,8.4959
302.15,0.04004,0.02876,0.001004,34.77,1,121.48,2554.5,2433.1,0.4227,8.4751
303.15,0.04241,0.03037,0.0010043,32.93,1,125.66,2556.4,2430.7,0.4365,8.4546
304.15,0.04491,0.03205,0.0010046,31.2,1,129.84,2558.2,2428.3,0.4503,8.4342
305.15,0.04753,0.03382,0.0010049,29.57,1,134.02,2560,2425.9,0.464,8.414
306.15,0.05029,0.03566,0.0010053,28.04,1,138.2,2561.8,2423.6,0.4777,8.3939
307.15,0.05318,0.03759,0.0010056,26.6,1,142.38,2563.6,2421.2,0.4913,8.374
308.15,0.05622,0.03961,0.001006,25.24,1,146.56,2565.4,2418.8,0.5049,8.3543
309.15,0.0594,0.04172,0.0010063,23.97,1,150.74,2567.2,2416.4,0.5184,8.3348
310.15,0.06274,0.04393,0.0010067,22.76,1,154.91,2569,2414.1,0.5319,8.3154
311.15,0.06624,0.04624,0.001007,21.63,1,159.09,2570.8,2411.7,0.5453,8.2962
312.15,0.06991,0.04865,0.0010074,20.56,1,163.27,2572.6,2409.3,0.5588,8.2772
313.15,0.07375,0.05116,0.0010078,19.55,1,167.45,2574.4,2406.9,0.5721,8.2583
314.15,0.07777,0.05379,0.0010082,18.59,1,171.63,2576.2,2404.5,0.5854,8.2395
315.15,0.08198,0.05652,0.0010086,17.69,1,175.81,2577.9,2402.1,0.5987,8.2209
316.15,0.08639,0.05938,0.001009,16.84,1,179.99,2579.7,2399.7,0.612,8.2025
317.15,0.091,0.06236,0.0010094,16.04,1,184.17,2581.5,2397.3,0.6252,8.1842
318.15,0.09582,0.06546,0.0010099,15.28,1,188.35,2583.3,2394.9,0.6383,8.1661
319.15,0.10086,0.06869,0.0010103,14.56,1,192.53,2585.1,2392.5,0.6514,8.1481
320.15,0.10612,0.07206,0.0010107,13.88,1,196.71,2586.9,2390.1,0.6645,8.1302
321.15,0.11162,0.07557,0.0010112,13.23,1,200.89,2588.6,2387.7,0.6776,8.1125
322.15,0.11736,0.07922,0.0010117,12.62,1,205.07,2590.4,2385.3,0.6906,8.095
323.15,0.12335,0.08302,0.0010121,12.05,1,209.26,2592.2,2382.9,0.7035,8.0776
