Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
60.000	0.0072582	1282.0	0.00078003	-184.19	-184.19	2.2571	1.0886	1.6734	1127.4	-0.037011	0.00057807	0.19396	0.021053	0.046595	21.462	38.610	54.188	6.2301	0.68175	0.94755	147.03	28.462	4.5528e-06	0.0049840
61.000	0.0093243	1277.6	0.00078273	-182.52	-182.51	2.2848	1.0781	1.6744	1123.6	-0.036857	0.00055065	0.19254	0.020781	0.058887	16.982	39.251	55.085	6.1799	0.68515	0.95169	148.18	25.332	4.6335e-06	0.0050842
62.000	0.011873	1273.1	0.00078546	-180.84	-180.84	2.3120	1.0688	1.6754	1119.0	-0.036711	0.00052505	0.19111	0.020509	0.073791	13.552	39.890	55.980	6.1317	0.68846	0.95575	149.31	22.499	4.7141e-06	0.0051846
63.000	0.014993	1268.7	0.00078822	-179.16	-179.16	2.3388	1.0605	1.6761	1113.8	-0.036573	0.00050115	0.18969	0.020238	0.091720	10.903	40.529	56.875	6.0855	0.69161	0.95965	150.43	19.954	4.7947e-06	0.0052850
64.000	0.018781	1264.2	0.00079102	-177.49	-177.49	2.3652	1.0529	1.6767	1108.0	-0.036440	0.00047882	0.18827	0.019968	0.11313	8.8392	41.167	57.768	6.0411	0.69455	0.96333	151.54	17.684	4.8751e-06	0.0053856
65.000	0.023349	1259.7	0.00079385	-175.81	-175.81	2.3912	1.0460	1.6772	1101.7	-0.036312	0.00045794	0.18685	0.019698	0.13853	7.2188	41.804	58.660	5.9985	0.69721	0.96671	152.65	15.671	4.9555e-06	0.0054863
66.000	0.028819	1255.2	0.00079671	-174.13	-174.13	2.4168	1.0395	1.6775	1095.1	-0.036187	0.00043840	0.18542	0.019429	0.16844	5.9367	42.441	59.550	5.9575	0.69955	0.96976	153.75	13.893	5.0357e-06	0.0055872
67.000	0.035326	1250.6	0.00079959	-172.46	-172.45	2.4421	1.0334	1.6778	1088.2	-0.036063	0.00042011	0.18400	0.019160	0.20347	4.9147	43.077	60.439	5.9181	0.70154	0.97244	154.84	12.331	5.1159e-06	0.0056882
68.000	0.043019	1246.1	0.00080251	-170.78	-170.78	2.4669	1.0276	1.6779	1081.1	-0.035939	0.00040297	0.18258	0.018893	0.24424	4.0944	43.712	61.325	5.8802	0.70316	0.97471	155.92	10.962	5.1959e-06	0.0057894
69.000	0.052059	1241.5	0.00080546	-169.10	-169.10	2.4914	1.0220	1.6780	1073.8	-0.035814	0.00038689	0.18116	0.018626	0.29142	3.4315	44.346	62.210	5.8437	0.70437	0.97656	157.00	9.7666	5.2758e-06	0.0058908
70.000	0.062623	1237.0	0.00080844	-167.42	-167.42	2.5156	1.0167	1.6781	1066.3	-0.035686	0.00037179	0.17973	0.018360	0.34573	2.8925	44.978	63.092	5.8086	0.70519	0.97798	158.07	8.7254	5.3557e-06	0.0059925
71.000	0.074901	1232.4	0.00081145	-165.75	-165.74	2.5394	1.0115	1.6782	1058.7	-0.035555	0.00035760	0.17831	0.018094	0.40792	2.4514	45.610	63.971	5.7747	0.70560	0.97899	159.14	7.8204	5.4354e-06	0.0060944
72.000	0.089098	1227.8	0.00081449	-164.07	-164.06	2.5628	1.0065	1.6782	1051.0	-0.035419	0.00034425	0.17689	0.017829	0.47881	2.0885	46.239	64.848	5.7421	0.70563	0.97959	160.20	7.0351	5.5150e-06	0.0061966
73.000	0.10543	1223.2	0.00081756	-162.39	-162.38	2.5860	1.0016	1.6784	1043.2	-0.035277	0.00033169	0.17547	0.017565	0.55924	1.7882	46.867	65.720	5.7106	0.70528	0.97982	161.25	6.3548	5.5945e-06	0.0062991
74.000	0.12414	1218.5	0.00082066	-160.71	-160.70	2.6088	0.99678	1.6785	1035.4	-0.035128	0.00031984	0.17404	0.017302	0.65008	1.5383	47.493	66.589	5.6803	0.70458	0.97970	162.29	5.7660	5.6740e-06	0.0064019
75.000	0.14547	1213.9	0.00082380	-159.03	-159.02	2.6313	0.99208	1.6788	1027.5	-0.034972	0.00030866	0.17262	0.017039	0.75227	1.3293	48.116	67.454	5.6510	0.70356	0.97928	163.33	5.2570	5.7533e-06	0.0065051
76.000	0.16969	1209.2	0.00082697	-157.36	-157.34	2.6536	0.98746	1.6791	1019.5	-0.034808	0.00029810	0.17120	0.016777	0.86677	1.1537	48.736	68.314	5.6227	0.70226	0.97860	164.36	4.8172	5.8325e-06	0.0066086
77.000	0.19708	1204.6	0.00083017	-155.68	-155.66	2.6755	0.98292	1.6795	1011.5	-0.034635	0.00028812	0.16977	0.016516	0.99458	1.0055	49.353	69.168	5.5953	0.70072	0.97771	165.37	4.4374	5.9116e-06	0.0067127
78.000	0.22792	1199.9	0.00083341	-154.00	-153.98	2.6972	0.97845	1.6801	1003.5	-0.034452	0.00027867	0.16834	0.016256	1.1367	0.87971	49.966	70.017	5.5689	0.69896	0.97666	166.38	4.1094	5.9907e-06	0.0068172
79.000	0.26253	1195.2	0.00083669	-152.32	-152.30	2.7186	0.97405	1.6808	995.49	-0.034259	0.00026971	0.16692	0.015996	1.2943	0.77260	50.576	70.859	5.5433	0.69704	0.97551	167.38	3.8263	6.0697e-06	0.0069222
80.000	0.30123	1190.5	0.00084001	-150.64	-150.61	2.7397	0.96972	1.6816	987.43	-0.034056	0.00026122	0.16549	0.015737	1.4684	0.68099	51.181	71.694	5.5185	0.69500	0.97431	168.36	3.5817	6.1486e-06	0.0070277
