Kelvin,p,density,v_liquid,v_gas,compressibility factor,h_liquid,h_gas,r,s_liquid,s_gas
60,0.0072582,1282,0.00078003,21.462,1.6734,-184.19,54.188,1.0886,2.2571,6.2301
61,0.0093243,1277.6,0.00078273,16.982,1.6744,-182.51,55.085,1.0781,2.2848,6.1799
62,0.011873,1273.1,0.00078546,13.552,1.6754,-180.84,55.98,1.0688,2.312,6.1317
63,0.014993,1268.7,0.00078822,10.903,1.6761,-179.16,56.875,1.0605,2.3388,6.0855
64,0.018781,1264.2,0.00079102,8.8392,1.6767,-177.49,57.768,1.0529,2.3652,6.0411
65,0.023349,1259.7,0.00079385,7.2188,1.6772,-175.81,58.66,1.046,2.3912,5.9985
66,0.028819,1255.2,0.00079671,5.9367,1.6775,-174.13,59.55,1.0395,2.4168,5.9575
67,0.035326,1250.6,0.00079959,4.9147,1.6778,-172.45,60.439,1.0334,2.4421,5.9181
68,0.043019,1246.1,0.00080251,4.0944,1.6779,-170.78,61.325,1.0276,2.4669,5.8802
69,0.052059,1241.5,0.00080546,3.4315,1.678,-169.1,62.21,1.022,2.4914,5.8437
70,0.062623,1237,0.00080844,2.8925,1.6781,-167.42,63.092,1.0167,2.5156,5.8086
71,0.074901,1232.4,0.00081145,2.4514,1.6782,-165.74,63.971,1.0115,2.5394,5.7747
72,0.089098,1227.8,0.00081449,2.0885,1.6782,-164.06,64.848,1.0065,2.5628,5.7421
73,0.10543,1223.2,0.00081756,1.7882,1.6784,-162.38,65.72,1.0016,2.586,5.7106
74,0.12414,1218.5,0.00082066,1.5383,1.6785,-160.7,66.589,0.99678,2.6088,5.6803
75,0.14547,1213.9,0.0008238,1.3293,1.6788,-159.02,67.454,0.99208,2.6313,5.651
76,0.16969,1209.2,0.00082697,1.1537,1.6791,-157.34,68.314,0.98746,2.6536,5.6227
77,0.19708,1204.6,0.00083017,1.0055,1.6795,-155.66,69.168,0.98292,2.6755,5.5953
78,0.22792,1199.9,0.00083341,0.87971,1.6801,-153.98,70.017,0.97845,2.6972,5.5689
79,0.26253,1195.2,0.00083669,0.7726,1.6808,-152.3,70.859,0.97405,2.7186,5.5433
80,0.30123,1190.5,0.00084001,0.68099,1.6816,-150.61,71.694,0.96972,2.7397,5.5185
81,0.34436,1185.7,0.00084337,0.60232,1.6825,-148.93,72.522,0.96545,2.7606,5.4945
82,0.39226,1181,0.00084676,0.5345,1.6836,-147.24,73.342,0.96124,2.7812,5.4713
83,0.4453,1176.2,0.0008502,0.47582,1.6849,-145.56,74.154,0.95708,2.8016,5.4487
84,0.50385,1171.4,0.00085369,0.42487,1.6863,-143.87,74.956,0.95299,2.8218,5.4268
85,0.56831,1166.6,0.00085721,0.38047,1.688,-142.18,75.749,0.94895,2.8417,5.4055
86,0.63906,1161.7,0.00086079,0.34167,1.6897,-140.48,76.532,0.94496,2.8614,5.3849
87,0.71653,1156.9,0.00086441,0.30764,1.6917,-138.79,77.304,0.94103,2.881,5.3648
88,0.80114,1152,0.00086808,0.2777,1.6939,-137.09,78.065,0.93716,2.9003,5.3452
89,0.89331,1147,0.0008718,0.2513,1.6963,-135.39,78.814,0.93334,2.9194,5.3262
90,0.9935,1142.1,0.00087558,0.22794,1.6989,-133.69,79.551,0.92957,2.9383,5.3076
91,1.1022,1137.1,0.00087941,0.20722,1.7016,-131.98,80.276,0.92586,2.9571,5.2896
92,1.2197,1132.1,0.00088329,0.18879,1.7047,-130.27,80.987,0.92221,2.9756,5.2719
93,1.3467,1127.1,0.00088724,0.17235,1.7079,-128.56,81.685,0.9186,2.994,5.2547
94,1.4836,1122,0.00089124,0.15766,1.7114,-126.84,82.369,0.91506,3.0123,5.2379
95,1.6308,1116.9,0.00089531,0.1445,1.7151,-125.12,83.039,0.91156,3.0303,5.2215
96,1.7889,1111.8,0.00089945,0.13268,1.719,-123.4,83.694,0.90812,3.0482,5.2054
97,1.9584,1106.6,0.00090365,0.12205,1.7232,-121.67,84.333,0.90473,3.066,5.1897
98,2.1397,1101.4,0.00090792,0.11245,1.7277,-119.93,84.957,0.9014,3.0836,5.1743
99,2.3334,1096.2,0.00091226,0.10378,1.7325,-118.19,85.564,0.89812,3.1011,5.1593
100,2.54,1090.9,0.00091668,0.095925,1.7375,-116.45,86.155,0.8949,3.1185,5.1445
