T,p,density,v_liquid,v_gas,compressibility_factor,h_liquid,h_gas,r,s_liquid,s_gas
203.15,2.298E-11,13769.57,7.26239E-05,3.665E+09,1.0000,33.131,342.637,309.506,0.32434,1.84787
213.15,1.288E-10,13744.39,7.27570E-05,6.862E+08,1.0000,34.567,343.674,309.107,0.33124,1.78142
223.15,6.169E-10,13719.30,7.28900E-05,1.499E+08,1.0000,35.997,344.710,308.713,0.33780,1.72123
233.15,2.580E-09,13694.29,7.30231E-05,3.746E+07,1.0000,37.422,345.746,308.324,0.34404,1.66647
243.15,9.573E-09,13669.36,7.31563E-05,1.053E+07,1.0000,38.842,346.782,307.940,0.35001,1.61647
253.15,3.198E-08,13644.51,7.32896E-05,3.281E+06,1.0000,40.258,347.819,307.561,0.35571,1.57065
263.15,9.738E-08,13619.73,7.34229E-05,1.120E+06,1.0000,41.668,348.855,307.187,0.36118,1.52852
273.15,2.728E-07,13595.03,7.35563E-05,4.150E+05,1.0000,43.074,349.891,306.817,0.36642,1.48967
283.15,7.101E-07,13570.39,7.36898E-05,1.653E+05,1.0000,44.476,350.927,306.451,0.37146,1.45375
293.15,1.729E-06,13545.83,7.38234E-05,7.026E+04,1.0000,45.874,351.964,306.090,0.37631,1.42045
303.15,3.968E-06,13521.33,7.39572E-05,3.167E+04,1.0000,47.268,353.000,305.732,0.38099,1.38951
313.15,8.626E-06,13496.89,7.40911E-05,1.505E+04,1.0000,48.659,354.036,305.377,0.38550,1.36068
323.15,1.786E-05,13472.51,7.42252E-05,7.501E+03,1.0000,50.046,355.072,305.026,0.38986,1.33378
333.15,3.563E-05,13448.19,7.43594E-05,3.905E+03,1.0000,51.430,356.108,304.678,0.39408,1.30862
343.15,6.724E-05,13423.93,7.44938E-05,2.115E+03,1.0000,52.810,357.145,304.335,0.39816,1.28505
353.15,1.232E-04,13399.71,7.46285E-05,1.118E+03,1.0000,54.188,358.181,303.993,0.40212,1.26292
363.15,2.182E-04,13375.54,7.47633E-05,6.899E+02,1.0000,55.563,359.217,303.654,0.40596,1.24213
373.15,3.745E-04,13351.42,7.48984E-05,4.130E+02,1.0000,56.936,360.253,303.317,0.40969,1.22255
383.15,6.247E-04,13327.34,7.50337E-05,2.542E+02,1.0000,58.306,361.289,302.983,0.41331,1.20408
393.15,1.015E-03,13303.30,7.51693E-05,1.536E+02,1.0000,59.674,362.326,302.652,0.41684,1.18665
403.15,1.608E-03,13279.29,7.53052E-05,1.039E+02,1.0000,61.039,363.362,302.323,0.42027,1.17017
413.15,2.491E-03,13255.31,7.54415E-05,6.875E+01,1.0000,62.403,364.397,301.994,0.42361,1.15456
423.15,3.778E-03,13231.37,7.55780E-05,4.643E+01,1.0000,63.765,365.433,301.668,0.42687,1.13978
433.15,5.618E-03,13207.45,7.57148E-05,3.196E+01,1.0000,65.125,366.469,301.344,0.43004,1.12575
443.15,8.204E-03,13183.56,7.58520E-05,2.239E+01,0.9999,66.484,367.504,301.020,0.43314,1.11242
453.15,1.178E-02,13159.68,7.59897E-05,1.595E+01,0.9999,67.842,368.539,300.697,0.43617,1.09975
463.15,1.664E-02,13135.82,7.61277E-05,1.154E+01,0.9999,69.198,369.574,300.376,0.43913,1.08768
473.15,2.315E-02,13111.97,7.62662E-05,8.469,0.9999,70.553,370.609,300.056,0.44203,1.07619
483.15,3.177E-02,13088.14,7.64051E-05,6.301,0.9998,71.908,371.642,299.734,0.44486,1.06524
